code,Country  ,Gcountry,Continent,Location  ,Type  ,Sub Type  ,dayStart,monthStart,yearStart,dayEnd,monthEnd,yearEnd,duration,complete
1,Afghanistan,Afghanistan,SOUTHERN ASIA,Paktia province,Drought,Drought,,1,1969,,,1969,,0
2,Afghanistan,Afghanistan,SOUTHERN ASIA,"Central, North-West, Nort ...",Drought,Drought,,8,1971,,,1973,,0
3,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kandahar, Helmand, Nimroz ...",Drought,Drought,,5,2000,,,2002,,0
4,Afghanistan,Afghanistan,SOUTHERN ASIA,,Drought,Drought,,7,2006,,,2006,,0
5,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kunduz, Balkh, Faryab, Ba ...",Drought,Drought,,10,2008,,10,2008,,0
6,Afghanistan,Afghanistan,SOUTHERN ASIA,"Balkh, Samangan, Takhar, ...",Drought,Drought,,1,2011,,8,2011,,0
7,Afghanistan,Afghanistan,SOUTHERN ASIA,North Region,Earthquake (seismic activity),Earthquake (ground shaking),10,6,1954,10,6,1954,0,1
8,Afghanistan,Afghanistan,SOUTHERN ASIA,Kabul,Earthquake (seismic activity),Earthquake (ground shaking),10,6,1956,10,6,1956,0,1
9,Afghanistan,Afghanistan,SOUTHERN ASIA,Hindu Kush,Earthquake (seismic activity),Earthquake (ground shaking),19,3,1976,19,3,1976,0,1
10,Afghanistan,Afghanistan,SOUTHERN ASIA,Baghlan province (Hindu K ...,Earthquake (seismic activity),Earthquake (ground shaking),16,12,1982,16,12,1982,0,1
11,Afghanistan,Afghanistan,SOUTHERN ASIA,"Hindu Kush region, North- ...",Earthquake (seismic activity),Earthquake (ground shaking),16,12,1983,16,12,1983,0,1
12,Afghanistan,Afghanistan,SOUTHERN ASIA,Jalalabad Area,Earthquake (seismic activity),Earthquake (ground shaking),2,2,1984,2,2,1984,0,1
13,Afghanistan,Afghanistan,SOUTHERN ASIA,"Konar, Nangarhar, Badakhs ...",Earthquake (seismic activity),Earthquake (ground shaking),31,1,1991,31,1,1991,0,1
14,Afghanistan,Afghanistan,SOUTHERN ASIA,Keshim (Badakhshan provin ...,Earthquake (seismic activity),Earthquake (ground shaking),18,4,1991,18,4,1991,0,1
15,Afghanistan,Afghanistan,SOUTHERN ASIA,,Earthquake (seismic activity),Earthquake (ground shaking),20,5,1992,20,5,1992,0,1
16,Afghanistan,Afghanistan,SOUTHERN ASIA,"Termez, Depth Shallow, Ba ...",Earthquake (seismic activity),Earthquake (ground shaking),1,5,1994,1,5,1994,0,1
17,Afghanistan,Afghanistan,SOUTHERN ASIA,"Pakhalsoz, Dar-E-Zand, Qa ...",Earthquake (seismic activity),Earthquake (ground shaking),31,1,1996,31,1,1996,0,1
18,Afghanistan,Afghanistan,SOUTHERN ASIA,Herat area,Earthquake (seismic activity),Earthquake (ground shaking),10,5,1997,10,5,1997,0,1
19,Afghanistan,Afghanistan,SOUTHERN ASIA,Rustaq (Takhar province),Earthquake (seismic activity),Earthquake (ground shaking),4,2,1998,4,2,1998,0,1
20,Afghanistan,Afghanistan,SOUTHERN ASIA,Rostaq area,Earthquake (seismic activity),Earthquake (ground shaking),20,2,1998,20,2,1998,0,1
21,Afghanistan,Afghanistan,SOUTHERN ASIA,Shari-I-Buzurg (Faizabad ...,Earthquake (seismic activity),Earthquake (ground shaking),30,5,1998,30,5,1998,0,1
22,Afghanistan,Afghanistan,SOUTHERN ASIA,"Maidam Shar, Nirkh, Sayed ...",Earthquake (seismic activity),Earthquake (ground shaking),11,2,1999,11,2,1999,0,1
23,Afghanistan,Afghanistan,SOUTHERN ASIA,Hindu Kush,Earthquake (seismic activity),Earthquake (ground shaking),19,1,2000,19,1,2000,0,1
24,Afghanistan,Afghanistan,SOUTHERN ASIA,Faizabad region (Badakhsh ...,Earthquake (seismic activity),Earthquake (ground shaking),25,2,2001,25,2,2001,0,1
25,Afghanistan,Afghanistan,SOUTHERN ASIA,"Jabul Saraj, Gumbahar, Pa ...",Earthquake (seismic activity),Earthquake (ground shaking),1,6,2001,1,6,2001,0,1
26,Afghanistan,Afghanistan,SOUTHERN ASIA,Dakhli-Ezeu (Hindu Kush m ...,Earthquake (seismic activity),Earthquake (ground shaking),3,3,2002,3,3,2002,0,1
27,Afghanistan,Afghanistan,SOUTHERN ASIA,Nahrin (Baghlan province) ...,Earthquake (seismic activity),Earthquake (ground shaking),25,3,2002,25,3,2002,0,1
28,Afghanistan,Afghanistan,SOUTHERN ASIA,"Dawabi, Khojakeder (Nahri ...",Earthquake (seismic activity),Earthquake (ground shaking),12,4,2002,12,4,2002,0,1
29,Afghanistan,Afghanistan,SOUTHERN ASIA,Yakabagh (Takhar province ...,Earthquake (seismic activity),Earthquake (ground shaking),10,4,2003,10,4,2003,0,1
30,Afghanistan,Afghanistan,SOUTHERN ASIA,Paktia province,Earthquake (seismic activity),Earthquake (ground shaking),18,7,2004,18,7,2004,0,1
31,Afghanistan,Afghanistan,SOUTHERN ASIA,"Nangarhar, Jalalabad prov ...",Earthquake (seismic activity),Earthquake (ground shaking),8,10,2005,8,10,2005,0,1
32,Afghanistan,Afghanistan,SOUTHERN ASIA,Hindu Kush,Earthquake (seismic activity),Earthquake (ground shaking),13,12,2005,13,12,2005,0,1
33,Afghanistan,Afghanistan,SOUTHERN ASIA,Emam Sahib (Kunduz distri ...,Earthquake (seismic activity),Earthquake (ground shaking),29,7,2006,29,7,2006,0,1
34,Afghanistan,Afghanistan,SOUTHERN ASIA,"Sherzad, Hesarak (Nangarh ...",Earthquake (seismic activity),Earthquake (ground shaking),17,4,2009,17,4,2009,0,1
35,Afghanistan,Afghanistan,SOUTHERN ASIA,Samangan,Earthquake (seismic activity),Earthquake (ground shaking),18,4,2010,18,4,2010,0,1
36,Afghanistan,Afghanistan,SOUTHERN ASIA,"Burka, Nahrin, Guzargahi ...",Earthquake (seismic activity),Earthquake (ground shaking),11,6,2012,11,6,2012,0,1
37,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kabul, Bamyan, Uruzgan, B ...",Epidemic,Bacterial Infectious Diseases,,7,1998,2,9,1998,,0
38,Afghanistan,Afghanistan,SOUTHERN ASIA,Kabul province (central r ...,Epidemic,Bacterial Infectious Diseases,29,5,1999,12,7,1999,44,1
39,Afghanistan,Afghanistan,SOUTHERN ASIA,"Southern, Western and Nor ...",Epidemic,Bacterial Infectious Diseases,,8,2000,13,9,2000,,0
40,Afghanistan,Afghanistan,SOUTHERN ASIA,"Norhtern region (Khulm, A ...",Epidemic,Bacterial Infectious Diseases,1,6,2001,25,7,2001,54,1
41,Afghanistan,Afghanistan,SOUTHERN ASIA,"Aghram, Kuf sub-district, ...",Epidemic,Bacterial Infectious Diseases,1,9,2002,22,1,2003,143,1
42,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kabul, Kandahar, Herat, T ...",Epidemic,Bacterial Infectious Diseases,25,6,2005,19,9,2005,86,1
43,Afghanistan,Afghanistan,SOUTHERN ASIA,"Laghman, Nooristan, Nanga ...",Epidemic,Bacterial Infectious Diseases,6,10,2008,,,2008,,0
44,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kabul, Jalalabad",Epidemic,Parasitic Infectious Diseases,,1,2002,28,5,2002,,0
45,Afghanistan,Afghanistan,SOUTHERN ASIA,Rustaq district (province ...,Epidemic,Viral Infectious Diseases,25,3,1998,8,5,1998,44,1
46,Afghanistan,Afghanistan,SOUTHERN ASIA,"Jasthak, Darwaz District, ...",Epidemic,Viral Infectious Diseases,,1,1999,26,2,1999,,0
47,Afghanistan,Afghanistan,SOUTHERN ASIA,"Darra Souf, Jaghuri, Zind ...",Epidemic,Viral Infectious Diseases,,1,2000,,1,2000,,0
48,Afghanistan,Afghanistan,SOUTHERN ASIA,Gulran district (Herat Pr ...,Epidemic,Viral Infectious Diseases,,5,2000,11,7,2000,,0
49,Afghanistan,Afghanistan,SOUTHERN ASIA,Youmgan Valley,Epidemic,Viral Infectious Diseases,,3,2002,,3,2002,,0
50,Afghanistan,Afghanistan,SOUTHERN ASIA,Yakawlang,Epidemic,,,9,2000,,9,2000,,0
51,Afghanistan,Afghanistan,SOUTHERN ASIA,Taiwara-Ghor province,Epidemic,,1,12,2001,1,12,2001,0,1
52,Afghanistan,Afghanistan,SOUTHERN ASIA,Waras district (Bamyan pr ...,Epidemic,,28,3,2002,28,3,2002,0,1
53,Afghanistan,Afghanistan,SOUTHERN ASIA,Uruzgan province,Epidemic,,10,4,2002,10,4,2002,0,1
54,Afghanistan,Afghanistan,SOUTHERN ASIA,Kabul,Epidemic,,1,7,2002,17,7,2002,16,1
55,Afghanistan,Afghanistan,SOUTHERN ASIA,Taiwana district (Ghor pr ...,Epidemic,,,7,2002,,7,2002,,0
56,Afghanistan,Afghanistan,SOUTHERN ASIA,Badakhshan,Epidemic,,24,10,2002,24,10,2002,0,1
57,Afghanistan,Afghanistan,SOUTHERN ASIA,,Extreme temperature,Cold wave,26,12,1990,26,12,1990,0,1
58,Afghanistan,Afghanistan,SOUTHERN ASIA,East and South Afghan Pro ...,Extreme temperature,Cold wave,3,1,1991,3,1,1991,0,1
59,Afghanistan,Afghanistan,SOUTHERN ASIA,"Heart, Faryab, Jowzjan, B ...",Extreme temperature,Cold wave,31,1,2001,20,2,2001,20,1
60,Afghanistan,Afghanistan,SOUTHERN ASIA,Near Kunduz,Extreme temperature,Cold wave,,11,2001,,11,2001,,0
61,Afghanistan,Afghanistan,SOUTHERN ASIA,Badakhshan,Extreme temperature,Cold wave,9,4,2005,10,4,2005,1,1
62,Afghanistan,Afghanistan,SOUTHERN ASIA,"Nangarhar, Laghman (Easte ...",Extreme temperature,Extreme winter conditions,5,1,2008,15,2,2008,41,1
63,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badakshstan, Daykundi pro ...",Extreme temperature,Extreme winter conditions,16,1,2012,17,1,2012,1,1
64,Afghanistan,Afghanistan,SOUTHERN ASIA,"Salang, Ghorband, Shutul ...",Flood,Flash flood,31,9,1992,31,9,1992,0,1
65,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kandahar, Helmand, Zabul, ...",Flood,Flash flood,20,2,1998,27,2,1998,7,1
66,Afghanistan,Afghanistan,SOUTHERN ASIA,South,Flood,Flash flood,,1,2003,,1,2003,,0
67,Afghanistan,Afghanistan,SOUTHERN ASIA,"Baghraan, Kajaki, Sokhtra ...",Flood,Flash flood,18,4,2003,21,4,2003,3,1
68,Afghanistan,Afghanistan,SOUTHERN ASIA,"Doshi, Khost-o-Fereng, Na ...",Flood,Flash flood,26,5,2003,6,6,2003,11,1
69,Afghanistan,Afghanistan,SOUTHERN ASIA,Ghandak valley (Shibar di ...,Flood,Flash flood,12,7,2003,15,7,2003,3,1
70,Afghanistan,Afghanistan,SOUTHERN ASIA,Gurziwan district (Faryab ...,Flood,Flash flood,28,4,2006,1,5,2006,3,1
71,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kodee Kheel, Mam Kheel (S ...",Flood,Flash flood,30,7,2006,30,7,2006,0,1
72,Afghanistan,Afghanistan,SOUTHERN ASIA,"Murghab, Ghormach, Balamo ...",Flood,Flash flood,16,11,2006,20,11,2006,4,1
73,Afghanistan,Afghanistan,SOUTHERN ASIA,Samangan (Badakhshan),Flood,Flash flood,23,4,2007,4,5,2007,11,1
74,Afghanistan,Afghanistan,SOUTHERN ASIA,Wado Valley and Tala-u-Be ...,Flood,Flash flood,30,4,2007,30,4,2007,0,1
75,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badakhshan, Takhar provin ...",Flood,Flash flood,14,5,2007,18,5,2007,4,1
76,Afghanistan,Afghanistan,SOUTHERN ASIA,Lalo Sar Jangal district ...,Flood,Flash flood,15,7,2007,17,7,2007,2,1
77,Afghanistan,Afghanistan,SOUTHERN ASIA,Jalalabad province,Flood,Flash Flood,,8,2008,,8,2008,,0
78,Afghanistan,Afghanistan,SOUTHERN ASIA,"Daykundi, Kandahar, Herat ...",Flood,Flash Flood,4,4,2009,15,4,2009,11,1
79,Afghanistan,Afghanistan,SOUTHERN ASIA,Olya Cheshma village (Kha ...,Flood,Flash Flood,10,4,2012,10,4,2012,0,1
80,Afghanistan,Afghanistan,SOUTHERN ASIA,"Chobbash, Afghania, Turkm ...",Flood,Flash Flood,20,5,2012,20,5,2012,0,1
81,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badakhstan, Baglan, Laghm ...",Flood,General flood,6,2,1991,17,2,1991,11,1
82,Afghanistan,Afghanistan,SOUTHERN ASIA,Takhar province,Flood,General flood,13,4,1991,13,4,1991,0,1
83,Afghanistan,Afghanistan,SOUTHERN ASIA,"Arabjar, Chakush, Jabash ...",Flood,General flood,28,5,1991,4,6,1991,7,1
84,Afghanistan,Afghanistan,SOUTHERN ASIA,Takhar province,Flood,General flood,20,4,1995,20,4,1995,0,1
85,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badakhstan, Takhar, Farya ...",Flood,General flood,9,4,1996,23,4,1996,14,1
86,Afghanistan,Afghanistan,SOUTHERN ASIA,"Balk, Faryab, Baghlan, Ta ...",Flood,General flood,12,5,1997,15,5,1997,3,1
87,Afghanistan,Afghanistan,SOUTHERN ASIA,Laghman,Flood,General flood,7,9,1997,8,9,1997,1,1
88,Afghanistan,Afghanistan,SOUTHERN ASIA,Deh Miran area (Faryab pr ...,Flood,General flood,4,4,2002,4,7,2002,91,1
89,Afghanistan,Afghanistan,SOUTHERN ASIA,"Qamla-I-Naw, Ab Kamari di ...",Flood,General flood,23,4,2002,26,4,2002,3,1
90,Afghanistan,Afghanistan,SOUTHERN ASIA,"Balkh, Kunduz provinces",Flood,General flood,17,3,2003,28,3,2003,11,1
91,Afghanistan,Afghanistan,SOUTHERN ASIA,Badakshan and North provi ...,Flood,General flood,16,6,2003,21,6,2003,5,1
92,Afghanistan,Afghanistan,SOUTHERN ASIA,"Paktia, Pakitka, Khost pr ...",Flood,General flood,9,7,2003,9,7,2003,0,1
93,Afghanistan,Afghanistan,SOUTHERN ASIA,Panjshir valley (Kapisa p ...,Flood,General flood,29,7,2003,30,7,2003,1,1
94,Afghanistan,Afghanistan,SOUTHERN ASIA,"Ghazara, Engil districts ...",Flood,General flood,15,1,2004,17,1,2004,2,1
95,Afghanistan,Afghanistan,SOUTHERN ASIA,"Shohada, Jurm districts ...",Flood,General flood,13,7,2004,19,7,2004,6,1
96,Afghanistan,Afghanistan,SOUTHERN ASIA,"Chakhansur, Chahar Burjak ...",Flood,General flood,5,3,2005,25,3,2005,20,1
97,Afghanistan,Afghanistan,SOUTHERN ASIA,"Nimroz, Urozgan, Farah, G ...",Flood,General flood,5,3,2005,5,4,2005,31,1
98,Afghanistan,Afghanistan,SOUTHERN ASIA,Purchaman district (Farah ...,Flood,General flood,4,5,2005,8,5,2005,4,1
99,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badakhstan, Takhar, Saman ...",Flood,General flood,16,6,2005,17,6,2005,1,1
100,Afghanistan,Afghanistan,SOUTHERN ASIA,"districts: Daronta, Lal P ...",Flood,General flood,21,6,2005,5,8,2005,45,1
101,Afghanistan,Afghanistan,SOUTHERN ASIA,Ghaziabad district (Kunar ...,Flood,General flood,11,9,2005,12,9,2005,1,1
102,Afghanistan,Afghanistan,SOUTHERN ASIA,Kunar province,Flood,General flood,11,9,2005,12,9,2005,1,1
103,Afghanistan,Afghanistan,SOUTHERN ASIA,Dehhadi district (Balkh p ...,Flood,General flood,27,12,2005,29,12,2005,2,1
104,Afghanistan,Afghanistan,SOUTHERN ASIA,Mazari Sherif area,Flood,General flood,28,12,2005,28,12,2005,0,1
105,Afghanistan,Afghanistan,SOUTHERN ASIA,"Chichcharan, Shahrak, Tah ...",Flood,General flood,19,5,2006,23,5,2006,4,1
106,Afghanistan,Afghanistan,SOUTHERN ASIA,"Gurziwan, Belcheragh dist ...",Flood,General flood,,5,2006,,5,2006,,0
107,Afghanistan,Afghanistan,SOUTHERN ASIA,"Khost, Nuristan provinces ...",Flood,General flood,9,7,2006,13,7,2006,4,1
108,Afghanistan,Afghanistan,SOUTHERN ASIA,"Nangarhar- Sherzado, Pakt ...",Flood,General flood,30,7,2006,9,8,2006,10,1
109,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badghis, Uruzgan, Helmand ...",Flood,General flood,18,3,2007,26,3,2007,8,1
110,Afghanistan,Afghanistan,SOUTHERN ASIA,"Samangaran, Baghlan, Takh ...",Flood,General flood,5,5,2007,7,5,2007,2,1
111,Afghanistan,Afghanistan,SOUTHERN ASIA,Chapa Dara and Manogi dis ...,Flood,General flood,24,6,2007,3,7,2007,9,1
112,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kach Guzar, Nasrat Abad, ...",Flood,General Flood,25,3,2009,24,5,2009,60,1
113,Afghanistan,Afghanistan,SOUTHERN ASIA,"Laghman province, Alingar ...",Flood,General Flood,3,9,2009,3,9,2009,0,1
114,Afghanistan,Afghanistan,SOUTHERN ASIA,"Herat, Ghor, Bagdis provi ...",Flood,General Flood,5,5,2010,8,5,2010,3,1
115,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kapisa, Nangarhar, Laghma ...",Flood,General Flood,27,7,2010,3,8,2010,7,1
116,Afghanistan,Afghanistan,SOUTHERN ASIA,Western Herat,Flood,General Flood,10,2,2011,16,2,2011,6,1
117,Afghanistan,Afghanistan,SOUTHERN ASIA,Baghlan,Flood,General Flood,1,5,2011,8,5,2011,7,1
118,Afghanistan,Afghanistan,SOUTHERN ASIA,"Northern Balk province, G ...",Flood,General Flood,22,4,2012,22,4,2012,0,1
119,Afghanistan,Afghanistan,SOUTHERN ASIA,Takha province,Flood,General Flood,12,5,2012,16,5,2012,4,1
120,Afghanistan,Afghanistan,SOUTHERN ASIA,"Saywad, Suzma Qala, Kohis ...",Flood,General Flood,18,5,2012,18,5,2012,0,1
121,Afghanistan,Afghanistan,SOUTHERN ASIA,"Chaghcharan, Shahrak, Cha ...",Flood,General Flood,18,6,2012,20,6,2012,2,1
122,Afghanistan,Afghanistan,SOUTHERN ASIA,,Flood,,,7,1956,,7,1956,,0
123,Afghanistan,Afghanistan,SOUTHERN ASIA,,Flood,,,4,1963,,4,1963,,0
124,Afghanistan,Afghanistan,SOUTHERN ASIA,West,Flood,,,1,1972,,1,1972,,0
125,Afghanistan,Afghanistan,SOUTHERN ASIA,"Herat, Farah, Kandahar",Flood,,,4,1976,,4,1976,,0
126,Afghanistan,Afghanistan,SOUTHERN ASIA,Central and Eastern regio ...,Flood,,,7,1978,,7,1978,,0
127,Afghanistan,Afghanistan,SOUTHERN ASIA,Southern provinces,Flood,,,3,1980,,3,1980,,0
128,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badakhshan, Baghlan, Hera ...",Flood,,,6,1988,,6,1988,,0
129,Afghanistan,Afghanistan,SOUTHERN ASIA,Faizabad,Flood,,8,5,1992,8,5,1992,0,1
130,Afghanistan,Afghanistan,SOUTHERN ASIA,Takhar Province,Flood,,5,7,1995,5,7,1995,0,1
131,Afghanistan,Afghanistan,SOUTHERN ASIA,Kanhahar & Helmand Provin ...,Flood,,,2,1999,,2,1999,,0
132,Afghanistan,Afghanistan,SOUTHERN ASIA,Yulmarab village (Mazar-e ...,Flood,,22,3,2002,22,3,2002,0,1
133,Afghanistan,Afghanistan,SOUTHERN ASIA,Khost,Flood,,28,8,2002,28,8,2002,0,1
134,Afghanistan,Afghanistan,SOUTHERN ASIA,Kaboul,Industrial Accident,Collapse,26,7,2004,26,7,2004,0,1
135,Afghanistan,Afghanistan,SOUTHERN ASIA,Karkar,Industrial Accident,Explosion,12,6,1964,12,6,1964,0,1
136,Afghanistan,Afghanistan,SOUTHERN ASIA,Kabul,Industrial Accident,Explosion,16,2,1996,16,2,1996,0,1
137,Afghanistan,Afghanistan,SOUTHERN ASIA,Jalalabad,Industrial Accident,Explosion,19,3,1997,19,3,1997,0,1
138,Afghanistan,Afghanistan,SOUTHERN ASIA,Aziz Abad (Shindand distr ...,Industrial Accident,Explosion,2,5,2004,2,5,2004,0,1
139,Afghanistan,Afghanistan,SOUTHERN ASIA,,Insect infestation,Locust,,9,1993,,9,1993,,0
140,Afghanistan,Afghanistan,SOUTHERN ASIA,Salang region,Mass movement dry,Avalanche,,3,1993,,3,1993,,0
141,Afghanistan,Afghanistan,SOUTHERN ASIA,,Mass movement wet,Avalanche,8,4,1987,8,4,1987,0,1
142,Afghanistan,Afghanistan,SOUTHERN ASIA,Mazar-E-Sharif (city) (Ba ...,Mass movement wet,Avalanche,27,3,1997,27,3,1997,0,1
143,Afghanistan,Afghanistan,SOUTHERN ASIA,Salang - Salang Tunnel Le ...,Mass movement wet,Avalanche,27,3,1998,27,3,1998,0,1
144,Afghanistan,Afghanistan,SOUTHERN ASIA,Salang area,Mass movement wet,Avalanche,6,2,2002,6,2,2002,0,1
145,Afghanistan,Afghanistan,SOUTHERN ASIA,Kohistan district (Badakh ...,Mass movement wet,Avalanche,31,1,2006,31,1,2006,0,1
146,Afghanistan,Afghanistan,SOUTHERN ASIA,Saland region (Hindu Kush ...,Mass Movement Wet,Avalanche,18,1,2009,18,1,2009,0,1
147,Afghanistan,Afghanistan,SOUTHERN ASIA,Salang (Parwan province),Mass Movement Wet,Avalanche,6,2,2010,9,2,2010,3,1
148,Afghanistan,Afghanistan,SOUTHERN ASIA,Arghanj Khowa district (B ...,Mass Movement Wet,Avalanche,2,3,2010,2,3,2010,0,1
149,Afghanistan,Afghanistan,SOUTHERN ASIA,"Arghanj Khaw, Ishkashiem, ...",Mass Movement Wet,Avalanche,18,1,2012,18,1,2012,0,1
150,Afghanistan,Afghanistan,SOUTHERN ASIA,Shekay district (Badaksha ...,Mass Movement Wet,Avalanche,5,3,2012,5,3,2012,0,1
151,Afghanistan,Afghanistan,SOUTHERN ASIA,Nuristan province,Mass Movement Wet,Avalanche,12,3,2012,12,3,2012,0,1
152,Afghanistan,Afghanistan,SOUTHERN ASIA,Khinjan Pass,Mass movement wet,Landslide,28,7,1971,28,7,1971,0,1
153,Afghanistan,Afghanistan,SOUTHERN ASIA,Chindawal district (Kabul ...,Mass movement wet,Landslide,15,6,1993,15,6,1993,0,1
154,Afghanistan,Afghanistan,SOUTHERN ASIA,Kurluk Zir Kutal (Daraim ...,Mass movement wet,Landslide,27,3,1995,27,3,1995,0,1
155,Afghanistan,Afghanistan,SOUTHERN ASIA,"Sar-i-Pul, Badakhshan pro ...",Mass movement wet,Landslide,13,1,2006,13,1,2006,0,1
156,Afghanistan,Afghanistan,SOUTHERN ASIA,,Miscellaneous accident,Collapse,28,2,1991,28,2,1991,0,1
157,Afghanistan,Afghanistan,SOUTHERN ASIA,Khogiani (Nangarhar provi ...,Miscellaneous accident,Collapse,29,9,2000,29,9,2000,0,1
158,Afghanistan,Afghanistan,SOUTHERN ASIA,Ghazni province,Miscellaneous accident,Collapse,29,3,2005,29,3,2005,0,1
159,Afghanistan,Afghanistan,SOUTHERN ASIA,Jalga district (Baghlan p ...,Miscellaneous accident,Collapse,27,10,2010,27,10,2010,0,1
160,Afghanistan,Afghanistan,SOUTHERN ASIA,Bamiyan region,Miscellaneous accident,Explosion,20,7,2002,20,7,2002,0,1
161,Afghanistan,Afghanistan,SOUTHERN ASIA,Jalalabad,Miscellaneous accident,Explosion,9,8,2002,9,8,2002,0,1
162,Afghanistan,Afghanistan,SOUTHERN ASIA,Aqcha district,Miscellaneous accident,Explosion,4,8,2003,4,8,2003,0,1
163,Afghanistan,Afghanistan,SOUTHERN ASIA,Bachgah (Baghlan province ...,Miscellaneous accident,Explosion,2,5,2005,2,5,2005,0,1
164,Afghanistan,Afghanistan,SOUTHERN ASIA,Mazar-e-Sharif,Miscellaneous accident,Other,20,3,2004,20,3,2004,0,1
165,Afghanistan,Afghanistan,SOUTHERN ASIA,Badakshan province,Storm,Local storm,,2,2006,,2,2006,,0
166,Afghanistan,Afghanistan,SOUTHERN ASIA,Daykundi,Storm,Local storm,10,2,2011,14,2,2011,4,1
167,Afghanistan,Afghanistan,SOUTHERN ASIA,Chah-i-Ab district (Takha ...,Storm,,14,5,1993,14,5,1993,0,1
168,Afghanistan,Afghanistan,SOUTHERN ASIA,"Badakshan, Daikundi, Ghaz ...",Storm,,,1,2005,,2,2005,,0
169,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kabul, Dadakshan Baghlan, ...",Storm,,1,1,2006,,2,2006,,0
170,Afghanistan,Afghanistan,SOUTHERN ASIA,Helmand province,Transport Accident,Air,,7,1989,,7,1989,,0
171,Afghanistan,Afghanistan,SOUTHERN ASIA,Kabul,Transport Accident,Air,27,9,1989,27,9,1989,0,1
172,Afghanistan,Afghanistan,SOUTHERN ASIA,,Transport Accident,Air,21,2,1990,21,2,1990,0,1
173,Afghanistan,Afghanistan,SOUTHERN ASIA,,Transport Accident,Air,10,8,1990,10,8,1990,0,1
174,Afghanistan,Afghanistan,SOUTHERN ASIA,Near Kaboul,Transport Accident,Air,26,7,1991,26,7,1991,0,1
175,Afghanistan,Afghanistan,SOUTHERN ASIA,Northern,Transport Accident,Air,27,4,1993,27,4,1993,0,1
176,Afghanistan,Afghanistan,SOUTHERN ASIA,Bamiyan,Transport Accident,Air,22,8,1997,22,8,1997,0,1
177,Afghanistan,Afghanistan,SOUTHERN ASIA,Near Kabul,Transport Accident,Air,20,3,1998,20,3,1998,0,1
178,Afghanistan,Afghanistan,SOUTHERN ASIA,Near Talogan (Takhar prov ...,Transport Accident,Air,8,12,2001,8,12,2001,0,1
179,Afghanistan,Afghanistan,SOUTHERN ASIA,Near Kabul,Transport Accident,Air,3,2,2005,3,2,2005,0,1
180,Afghanistan,Afghanistan,SOUTHERN ASIA,Ghazni province,Transport Accident,Air,7,4,2005,7,4,2005,0,1
181,Afghanistan,Afghanistan,SOUTHERN ASIA,Kunar province,Transport Accident,Air,5,5,2006,5,5,2006,0,1
182,Afghanistan,Afghanistan,SOUTHERN ASIA,"Paktya province, Khost ar ...",Transport Accident,Air,26,7,2006,26,7,2006,0,1
183,Afghanistan,Afghanistan,SOUTHERN ASIA,Zafar zone,Transport accident,Air,15,1,2009,15,1,2009,0,1
184,Afghanistan,Afghanistan,SOUTHERN ASIA,Near Kandahar,Transport accident,Air,19,7,2009,19,7,2009,0,1
185,Afghanistan,Afghanistan,SOUTHERN ASIA,West,Transport accident,Air,26,10,2009,26,10,2009,0,1
186,Afghanistan,Afghanistan,SOUTHERN ASIA,Salang mountains (Parwan ...,Transport accident,Air,17,5,2010,17,5,2010,0,1
187,Afghanistan,Afghanistan,SOUTHERN ASIA,Tangi Abrishim,Transport Accident,Road,8,6,2002,8,6,2002,0,1
188,Afghanistan,Afghanistan,SOUTHERN ASIA,Nejrab (Kapisa),Transport Accident,Road,6,8,2002,6,8,2002,0,1
189,Afghanistan,Afghanistan,SOUTHERN ASIA,Jani Khail district (Pakt ...,Transport Accident,Road,10,7,2005,10,7,2005,0,1
190,Afghanistan,Afghanistan,SOUTHERN ASIA,Shar-i-Safa district (Zab ...,Transport Accident,Road,20,8,2005,20,8,2005,0,1
191,Afghanistan,Afghanistan,SOUTHERN ASIA,South,Transport Accident,Road,24,9,2007,24,9,2007,0,1
192,Afghanistan,Afghanistan,SOUTHERN ASIA,Badakhstan province,Transport accident,Road,28,5,2008,28,5,2008,0,1
193,Afghanistan,Afghanistan,SOUTHERN ASIA,Col de Salang,Transport accident,Road,17,3,2010,17,3,2010,0,1
194,Afghanistan,Afghanistan,SOUTHERN ASIA,Daman district,Transport accident,Road,26,7,2010,26,7,2010,0,1
195,Afghanistan,Afghanistan,SOUTHERN ASIA,Zaboul,Transport accident,Road,28,4,2011,28,4,2011,0,1
